name_rep	at_id
C2C2COlike_tnt.AT5G59990_colamp_a	AT5G59990
C2C2YABBY_tnt.CRC_col_a	AT1G69180
C2C2YABBY_tnt.CRC_colamp_a	AT1G69180
C2C2dof_tnt.AT1G47655_col_a	AT1G47655
C2C2dof_tnt.AT1G47655_colamp_a	AT1G47655
C2C2dof_tnt.AT1G69570_col_a	AT1G69570
C2C2dof_tnt.AT1G69570_colamp_a	AT1G69570
C2C2dof_tnt.AT2G28810_col_a	AT2G28810
C2C2dof_tnt.AT2G28810_colamp_a	AT2G28810
C2C2dof_tnt.AT3G52440_col_a	AT3G52440
C2C2dof_tnt.AT3G52440_colamp_a	AT3G52440
C2C2dof_tnt.AT5G02460_col_a	AT5G02460
C2C2dof_tnt.AT5G02460_colamp_a	AT5G02460
C2C2dof_tnt.AT5G66940_col_a	AT5G66940
C2C2dof_tnt.AT5G66940_colamp_a	AT5G66940
C2C2dof_tnt.Adof1_col_a	AT1G51700
C2C2dof_tnt.Adof1_colamp_a	AT1G51700
C2C2dof_tnt.At1g64620_100ng20cy_b	AT1G64620
C2C2dof_tnt.At1g64620_colamp_a	AT1G64620
C2C2dof_tnt.At3g45610_col_a	AT3G45610
C2C2dof_tnt.At3g45610_colamp_a	AT3G45610
C2C2dof_tnt.At4g38000_col_a	AT4G38000
C2C2dof_tnt.At4g38000_colamp_a	AT4G38000
C2C2dof_tnt.At5g62940_col_a	AT5G62940
C2C2dof_tnt.CDF3_col_a	AT3G47500
C2C2dof_tnt.CDF3_colamp_a	AT3G47500
C2C2dof_tnt.COG1_col_a	AT1G29160
C2C2dof_tnt.COG1_colamp_a	AT1G29160
C2C2dof_tnt.DAG2_col_a	AT2G46590
C2C2dof_tnt.DAG2_colamp_a	AT2G46590
C2C2dof_tnt.OBP1_col_a	AT3G50410
C2C2dof_tnt.OBP3_col_a	AT3G55370
C2C2dof_tnt.OBP3_colamp_a	AT3G55370
C2C2dof_tnt.OBP4_col_a	AT5G60850
C2C2dof_tnt.OBP4_colamp_a	AT5G60850
C2C2dof_tnt.dof24_col_a	AT2G37590
C2C2dof_tnt.dof24_colamp_a	AT2G37590
C2C2dof_tnt.dof42_col_a	AT4G21030
C2C2dof_tnt.dof43_col_a	AT4G21040
C2C2dof_tnt.dof43_colamp_a	AT4G21040
C2C2dof_tnt.dof45_col_a	AT4G21080
C2C2dof_tnt.dof45_colamp_a	AT4G21080
C2C2gata_tnt.GATA11_col_a	AT1G08010
C2C2gata_tnt.GATA12_col_a	AT5G25830
C2C2gata_tnt.GATA12_colamp_a	AT5G25830
C2C2gata_tnt.GATA14_col_a	AT3G45170
C2C2gata_tnt.GATA15_col_b	AT3G06740
C2C2gata_tnt.GATA16_col_a	AT5G49300
C2C2gata_tnt.GATA19_col_a	AT4G36620
C2C2gata_tnt.GATA19_colamp_a	AT4G36620
C2C2gata_tnt.GATA1_col_a	AT3G24050
C2C2gata_tnt.GATA1_colamp_a	AT3G24050
C2C2gata_tnt.GATA20_col_a	AT2G18380
C2C2gata_tnt.GATA20_colamp_a	AT2G18380
C2C2gata_tnt.GATA4_col_a	AT3G60530
C2C2gata_tnt.GATA6_col200_a	AT3G51080
C2C2gata_tnt.ZIM_col_a	AT4G24470
C2C2gata_tnt.ZML1_col_a	AT3G21175
C2C2gata_tnt.ZML1_colamp_a	AT3G21175
C2C2gata_tnt.ZML2_col_a	AT1G51600
C2H2_tnt.AT2G15740_col_a	AT2G15740
C2H2_tnt.AT3G46070_col_a	AT3G46070
C2H2_tnt.AT3G49930_col_a	AT3G49930
C2H2_tnt.AT4G26030_col_a	AT4G26030
C2H2_tnt.AT5G22990_col_a	AT5G22990
C2H2_tnt.AZF1_colamp_a	AT5G67450
C2H2_tnt.At1g14580_col_a	AT1G14580
C2H2_tnt.At1g14580_colamp_a	AT1G14580
C2H2_tnt.At2g41835_col_b	AT2G41835
C2H2_tnt.At2g48100_col_b	AT2G48100
C2H2_tnt.At3g60580_col_a	AT3G60580
C2H2_tnt.At5g04390_col200_a	AT5G04390
C2H2_tnt.At5g22890_col_a	AT5G22890
C2H2_tnt.At5g66730_col	AT5G66730
C2H2_tnt.At5g66730_colamp_a	AT5G66730
C2H2_tnt.AtIDD11_col_a	AT3G13810
C2H2_tnt.AtIDD11_colamp_a	AT3G13810
C2H2_tnt.IDD2_col_a	AT3G50700
C2H2_tnt.IDD2_colamp_a	AT3G50700
C2H2_tnt.IDD4_col_a	AT2G02080
C2H2_tnt.IDD5_col	AT2G02070
C2H2_tnt.IDD5_colamp_a	AT2G02070
