Module3ID,Vol_nL_x,Module4ID,Vol_nL_y
pEPSW1KN0186,536.0,pEPSW1KN0189,271.4882122
pEPSW1KN0187,205.5291143,pEPSW1KN0190,324.5790455
pEPSW1KN0187,205.5291143,pEPSW1KN0191,255.444515
pEPSW1KN0187,205.5291143,pEPSW1KN0192,327.7546361
pEPSW1KN0187,205.5291143,pEPSW1KN0193,217.8475363
pEPSW1KN0194,284.9998066,pEPSW1KN0198,323.5862311
pEPSW1KN0195,324.0557534,pEPSW1KN0198,323.5862311
pEPSW1KN0196,194.17219939999998,pEPSW1KN0198,323.5862311
pEPSW1KN0197,297.3532734,pEPSW1KN0198,323.5862311
pEPSW1KN0197,297.3532734,pEPSW1KN0199,438.038633
pEPSW1KN0202,289.76580210000003,pEPSW1KN0199,438.038633
pEPSW1KN0200,291.61555810000004,pEPSW1KN0203,243.41105750000003
pEPSW1KN0201,155.48708200000002,pEPSW1KN0204,380.85230989999997
pEPSW1KN0201,155.48708200000002,pEPSW1KN0205,367.08062160000003
pEPSW1KN0206,309.7723292,pEPSW1KN0214,282.6353735
pEPSW1KN0207,282.7148812,pEPSW1KN0214,282.6353735
pEPSW1KN0208,259.19977489999997,pEPSW1KN0214,282.6353735
pEPSW1KN0209,298.5014176,pEPSW1KN0216,327.5943816
pEPSW1KN0210,296.21392779999996,pEPSW1KN0216,327.5943816
pEPSW1KN0211,384.2744669,pEPSW1KN0216,327.5943816
pEPSW1KN0212,307.9215643,pEPSW1KN0216,327.5943816
pEPSW1KN0213,491.9674246999999,pEPSW1KN0216,327.5943816
pEPSW1KN0215,320.79742319999997,pEPSW1KN0216,327.5943816
pEPSW1KN0220,235.5385107,pEPSW1KN0216,327.5943816
pEPSW1KN0215,320.79742319999997,pEPSW1KN0219,231.9238878
pEPSW1KN0217,278.02228199999996,pEPSW1KN0221,131.0969515
pEPSW1KN0218,326.7954535,pEPSW1KN0221,131.0969515
pEPSW1KN0222,180.7012034,pEPSW1KN0221,131.0969515
pEPSW1KN0223,536.0,pEPSW1KN0221,131.0969515
pEPSW1KN0224,171.434475,pEPSW1KN0229,191.0269864
pEPSW1KN0225,202.6043795,pEPSW1KN0229,191.0269864
pEPSW1KN0226,189.224845,pEPSW1KN0229,191.0269864
pEPSW1KN0227,187.4563885,pEPSW1KN0229,191.0269864
pEPSW1KN0228,175.9459085,pEPSW1KN0230,189.224845
pEPSW1KN0228,175.9459085,pEPSW1KN0231,157.9356974
pEPSW1KN0228,175.9459085,pEPSW1KN0232,187.4563885
pEPSW1KN0228,175.9459085,pEPSW1KN0233,536.0
pEPSW1KN0228,175.9459085,pEPSW1KN0234,230.54981119999997
pEPSW1KN0235,184.0168218,pEPSW1KN0234,230.54981119999997
pEPSW1KN0236,196.6454272,pEPSW1KN0234,230.54981119999997
